ID                                     0x2df2
Delivery_person_ID             INDORES20DEL03
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.732225
Restaurant_longitude                75.874765
Delivery_location_latitude          22.792225
Delivery_location_longitude         75.934765
Order_Date                         03-03-2022
Time_Orderd                             18:15
Time_Order_picked                       18:25
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 38637, dtype: object
