ID                                      0x1fd3
Delivery_person_ID             COIMBRES17DEL02
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.046117
Delivery_location_longitude          76.964652
Order_Date                          13-03-2022
Time_Orderd                               9:15
Time_Order_picked                         9:30
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     14.000000
Name: 32405, dtype: object
