ID                                       0x4e7f
Delivery_person_ID                HYDRES14DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   17.426228
Restaurant_longitude                  78.407495
Delivery_location_latitude            17.476228
Delivery_location_longitude           78.457495
Order_Date                           11-03-2022
Time_Orderd                               18:60
Time_Order_picked                         19:10
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      22.000000
Name: 31746, dtype: object
