ID                                    0xd0c4
Delivery_person_ID             KOLRES16DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.539129
Restaurant_longitude               88.365507
Delivery_location_latitude         22.579129
Delivery_location_longitude        88.405507
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                      14:05
Weather conditions                       NaN
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   49.000000
Name: 8263, dtype: object
