ID                                       0xc055
Delivery_person_ID              AURGRES010DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                  -19.875337
Restaurant_longitude                  75.316722
Delivery_location_latitude            19.895337
Delivery_location_longitude           75.336722
Order_Date                           15-02-2022
Time_Orderd                               11:25
Time_Order_picked                         11:40
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      27.000000
Name: 2208, dtype: object
