ID                                       0xae2d
Delivery_person_ID                SURRES07DEL01
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   21.170798
Restaurant_longitude                  72.790489
Delivery_location_latitude            21.180798
Delivery_location_longitude           72.800489
Order_Date                           03-04-2022
Time_Orderd                               11:35
Time_Order_picked                         11:40
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 31044, dtype: object
