ID                                       0xafa6
Delivery_person_ID             RANCHIRES07DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.369407
Delivery_location_longitude           85.335055
Order_Date                           15-03-2022
Time_Orderd                               11:45
Time_Order_picked                         11:55
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 4485, dtype: object
