ID                                     0xbf08
Delivery_person_ID             LUDHRES17DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -30.893384
Restaurant_longitude               -75.821202
Delivery_location_latitude          30.903384
Delivery_location_longitude         75.831202
Order_Date                         11-02-2022
Time_Orderd                               NaN
Time_Order_picked                        9:35
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                          Drinks
Type_of_vehicle                       bicycle
multiple_deliveries                  0.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    15.000000
Name: 27958, dtype: object
