ID                                       0x5c0a
Delivery_person_ID             RANCHIRES08DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.353783
Restaurant_longitude                  85.326967
Delivery_location_latitude            23.363783
Delivery_location_longitude           85.336967
Order_Date                           28-03-2022
Time_Orderd                               10:25
Time_Order_picked                         10:35
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 14903, dtype: object
