ID                                       0x61fa
Delivery_person_ID                JAPRES06DEL03
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.911927
Restaurant_longitude                  75.797282
Delivery_location_latitude            27.051927
Delivery_location_longitude           75.937282
Order_Date                           04-04-2022
Time_Orderd                               22:15
Time_Order_picked                         22:30
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 22687, dtype: object
