ID                                    0x33ec
Delivery_person_ID             MUMRES07DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                19.091458
Restaurant_longitude               72.827808
Delivery_location_latitude         19.221458
Delivery_location_longitude        72.957808
Order_Date                        29-03-2022
Time_Orderd                            19:45
Time_Order_picked                      19:60
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   51.000000
Name: 6887, dtype: object
