ID                                       0xaee0
Delivery_person_ID               PUNERES13DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   18.562450
Restaurant_longitude                  73.916619
Delivery_location_latitude            18.582450
Delivery_location_longitude           73.936619
Order_Date                           28-03-2022
Time_Orderd                                9:30
Time_Order_picked                          9:40
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 14699, dtype: object
