ID                                        0xa4f9
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    31.000000
Delivery_person_Ratings                 5.000000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.384422
Delivery_location_longitude            85.362900
Order_Date                            30-03-2022
Time_Orderd                                19:40
Time_Order_picked                          19:45
Weather conditions                    Sandstorms
Road_traffic_density                         Jam
Vehicle_condition                              2
Type_of_order                              Snack
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       34.000000
Name: 6576, dtype: object
