ID                                    0xbf11
Delivery_person_ID             DEHRES05DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -30.346994
Restaurant_longitude              -78.062543
Delivery_location_latitude         30.376994
Delivery_location_longitude        78.092543
Order_Date                        17-02-2022
Time_Orderd                              NaN
Time_Order_picked                      17:40
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   15.000000
Name: 16044, dtype: object
