ID                                       0xdf58
Delivery_person_ID                KNPRES09DEL03
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   26.473698
Restaurant_longitude                  80.352677
Delivery_location_latitude            26.613698
Delivery_location_longitude           80.492677
Order_Date                           16-02-2022
Time_Orderd                               23:55
Time_Order_picked                         24:05
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      12.000000
Name: 18534, dtype: object
