ID                                     0xbf04
Delivery_person_ID             LUDHRES18DEL03
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -30.890184
Restaurant_longitude               -75.829615
Delivery_location_latitude          31.030184
Delivery_location_longitude         75.969615
Order_Date                         14-02-2022
Time_Orderd                               NaN
Time_Order_picked                       24:15
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    30.000000
Name: 6011, dtype: object
