ID                                     0xba6e
Delivery_person_ID             BANGRES18DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          12.923041
Delivery_location_longitude         77.693237
Order_Date                         24-03-2022
Time_Orderd                             10:10
Time_Order_picked                       10:20
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    16.000000
Name: 8730, dtype: object
