ID                                     0xbbb0
Delivery_person_ID             INDORES06DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.728163
Restaurant_longitude                75.884212
Delivery_location_latitude          22.738163
Delivery_location_longitude         75.894212
Order_Date                         17-03-2022
Time_Orderd                             10:20
Time_Order_picked                       10:30
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 35502, dtype: object
