ID                                       0x23bd
Delivery_person_ID             RANCHIRES02DEL03
Delivery_person_Age                       26.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.03
Delivery_location_longitude                0.03
Order_Date                           28-03-2022
Time_Orderd                               22:50
Time_Order_picked                         22:55
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          18.00
Name: 25524, dtype: object
