ID                                    0xb1a3
Delivery_person_ID             SURRES14DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                21.157729
Restaurant_longitude               72.768726
Delivery_location_latitude         21.237729
Delivery_location_longitude        72.848726
Order_Date                        10-03-2022
Time_Orderd                            17:30
Time_Order_picked                      17:35
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   37.000000
Name: 15017, dtype: object
