ID                                     0x2bb2
Delivery_person_ID             PUNERES02DEL01
Delivery_person_Age                 27.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 18.551440
Restaurant_longitude                73.804855
Delivery_location_latitude          18.591440
Delivery_location_longitude         73.844855
Order_Date                         13-03-2022
Time_Orderd                             16:20
Time_Order_picked                       16:30
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    11.000000
Name: 14040, dtype: object
