ID                                     0xc3ec
Delivery_person_ID             AGRRES010DEL01
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 27.163303
Restaurant_longitude                78.057044
Delivery_location_latitude          27.203303
Delivery_location_longitude         78.097044
Order_Date                         17-02-2022
Time_Orderd                             14:15
Time_Order_picked                       14:20
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 45076, dtype: object
