ID                                     0xa8e8
Delivery_person_ID             PUNERES20DEL02
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 18.592718
Restaurant_longitude                73.773572
Delivery_location_latitude          18.612718
Delivery_location_longitude         73.793572
Order_Date                         13-03-2022
Time_Orderd                             11:55
Time_Order_picked                       12:10
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 43223, dtype: object
