ID                                       0xcc19
Delivery_person_ID               LUDHRES15DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   30.899584
Restaurant_longitude                  75.809346
Delivery_location_latitude            30.919584
Delivery_location_longitude           75.829346
Order_Date                           11-02-2022
Time_Orderd                               10:55
Time_Order_picked                         10:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 38351, dtype: object
