ID                                       0xa9f9
Delivery_person_ID                SURRES07DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.170798
Restaurant_longitude                  72.790489
Delivery_location_latitude            21.180798
Delivery_location_longitude           72.800489
Order_Date                           13-03-2022
Time_Orderd                                8:40
Time_Order_picked                          8:55
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      17.000000
Name: 1478, dtype: object
