ID                                      0x7b1e
Delivery_person_ID             COIMBRES07DEL01
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.071850
Delivery_location_longitude          77.081082
Order_Date                          27-03-2022
Time_Orderd                              21:30
Time_Order_picked                        21:45
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 13906, dtype: object
