ID                                    0xb84a
Delivery_person_ID             SURRES06DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                21.185047
Restaurant_longitude               72.808590
Delivery_location_latitude         21.195047
Delivery_location_longitude        72.818590
Order_Date                        30-03-2022
Time_Orderd                             9:30
Time_Order_picked                       9:35
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 34587, dtype: object
