ID                                     0x4ad
Delivery_person_ID             JAPRES19DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -26.913726
Restaurant_longitude              -75.752820
Delivery_location_latitude         26.933726
Delivery_location_longitude        75.772820
Order_Date                        28-03-2022
Time_Orderd                              NaN
Time_Order_picked                      11:25
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 45319, dtype: object
