ID                                    0xa68e
Delivery_person_ID             JAPRES04DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                26.902328
Restaurant_longitude               75.794257
Delivery_location_latitude         26.912328
Delivery_location_longitude        75.804257
Order_Date                        05-03-2022
Time_Orderd                            11:25
Time_Order_picked                      11:30
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 17689, dtype: object
