ID                                       0x564d
Delivery_person_ID             RANCHIRES20DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.509250
Delivery_location_longitude           85.500464
Order_Date                           27-03-2022
Time_Orderd                               21:40
Time_Order_picked                         21:50
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      45.000000
Name: 17613, dtype: object
