ID                                       0xafd
Delivery_person_ID             COIMBRES01DEL01
Delivery_person_Age                  39.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.026298
Delivery_location_longitude          76.982076
Order_Date                          03-04-2022
Time_Orderd                               8:40
Time_Order_picked                         8:45
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     22.000000
Name: 40479, dtype: object
