ID                                    0x5e1c
Delivery_person_ID             MUMRES15DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                19.176269
Restaurant_longitude               72.836721
Delivery_location_latitude         19.256269
Delivery_location_longitude        72.916721
Order_Date                        14-03-2022
Time_Orderd                            19:60
Time_Order_picked                      20:05
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   42.000000
Name: 32598, dtype: object
