ID                                     0x2bcf
Delivery_person_ID             INDORES14DEL03
Delivery_person_Age                 21.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 22.761593
Restaurant_longitude                75.886362
Delivery_location_latitude          22.821593
Delivery_location_longitude         75.946362
Order_Date                         28-03-2022
Time_Orderd                             21:20
Time_Order_picked                       21:25
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 28208, dtype: object
