ID                                       0x35fd
Delivery_person_ID               INDORES13DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   22.745049
Restaurant_longitude                  75.892471
Delivery_location_latitude            22.825049
Delivery_location_longitude           75.972471
Order_Date                           25-03-2022
Time_Orderd                               19:45
Time_Order_picked                         19:60
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 13510, dtype: object
