ID                                       0x569e
Delivery_person_ID             RANCHIRES13DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.484989
Delivery_location_longitude           85.445486
Order_Date                           23-03-2022
Time_Orderd                               17:50
Time_Order_picked                         17:60
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 41848, dtype: object
