ID                                       0x78f5
Delivery_person_ID              COIMBRES20DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   10.994136
Restaurant_longitude                  76.963303
Delivery_location_latitude            11.124136
Delivery_location_longitude           77.093303
Order_Date                           02-03-2022
Time_Orderd                               20:40
Time_Order_picked                         20:50
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      41.000000
Name: 18113, dtype: object
