ID                                    0xd56b
Delivery_person_ID             DEHRES08DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                30.359722
Restaurant_longitude               78.067079
Delivery_location_latitude         30.369722
Delivery_location_longitude        78.077079
Order_Date                        13-02-2022
Time_Orderd                             8:15
Time_Order_picked                       8:25
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 29640, dtype: object
