ID                                    0x31db
Delivery_person_ID             JAPRES15DEL03
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                26.891191
Restaurant_longitude               75.802083
Delivery_location_latitude         26.921191
Delivery_location_longitude        75.832083
Order_Date                        21-03-2022
Time_Orderd                            17:25
Time_Order_picked                      17:35
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 40085, dtype: object
