ID                                    0x493d
Delivery_person_ID             HYDRES06DEL03
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                17.455894
Restaurant_longitude               78.375467
Delivery_location_latitude         17.515894
Delivery_location_longitude        78.435467
Order_Date                        05-04-2022
Time_Orderd                            19:10
Time_Order_picked                      19:20
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   13.000000
Name: 44819, dtype: object
