ID                                    0xdd2b
Delivery_person_ID             BHPRES04DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                23.184992
Restaurant_longitude               77.417227
Delivery_location_latitude         23.254992
Delivery_location_longitude        77.487227
Order_Date                        12-02-2022
Time_Orderd                            22:20
Time_Order_picked                      22:30
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 18801, dtype: object
