ID                                       0x5cbe
Delivery_person_ID             RANCHIRES05DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.355164
Restaurant_longitude                  85.324097
Delivery_location_latitude            23.445164
Delivery_location_longitude           85.414097
Order_Date                           18-03-2022
Time_Orderd                               17:50
Time_Order_picked                         18:05
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 40554, dtype: object
