ID                                       0x347b
Delivery_person_ID             RANCHIRES03DEL01
Delivery_person_Age                       34.00
Delivery_person_Ratings                    4.10
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           19-03-2022
Time_Orderd                               13:40
Time_Order_picked                         13:50
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          38.00
Name: 506, dtype: object
