ID                                        0x9fe9
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    23.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.424422
Delivery_location_longitude            85.402900
Order_Date                            25-03-2022
Time_Orderd                                22:15
Time_Order_picked                          22:20
Weather conditions                         Sunny
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       22.000000
Name: 36409, dtype: object
