ID                                       0xdfc7
Delivery_person_ID               KNPRES010DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   26.477750
Restaurant_longitude                  80.351569
Delivery_location_latitude            26.607750
Delivery_location_longitude           80.481569
Order_Date                           16-02-2022
Time_Orderd                               17:10
Time_Order_picked                         17:15
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      44.000000
Name: 18441, dtype: object
