ID                                       0x9cb7
Delivery_person_ID               PUNERES15DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   18.636215
Restaurant_longitude                  73.751081
Delivery_location_latitude            18.666215
Delivery_location_longitude           73.781081
Order_Date                           01-03-2022
Time_Orderd                               17:25
Time_Order_picked                         17:40
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 12628, dtype: object
