ID                                     0xbbcc
Delivery_person_ID             PUNERES08DEL03
Delivery_person_Age                  26.00000
Delivery_person_Ratings               4.40000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.56408
Delivery_location_longitude          73.92852
Order_Date                         09-03-2022
Time_Orderd                             23:40
Time_Order_picked                       23:50
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                     20.00000
Name: 42633, dtype: object
