ID                                     0x54cb
Delivery_person_ID             INDORES18DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 22.753839
Restaurant_longitude                75.897429
Delivery_location_latitude          22.863838
Delivery_location_longitude         76.007429
Order_Date                         02-04-2022
Time_Orderd                             20:35
Time_Order_picked                       20:40
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    47.000000
Name: 34654, dtype: object
