ID                                       0x4fba
Delivery_person_ID             RANCHIRES13DEL03
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.434989
Delivery_location_longitude           85.395486
Order_Date                           28-03-2022
Time_Orderd                               19:45
Time_Order_picked                         19:60
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 26523, dtype: object
