ID                                       0xce95
Delivery_person_ID               LUDHRES17DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   30.893384
Restaurant_longitude                  75.821202
Delivery_location_latitude            30.973384
Delivery_location_longitude           75.901202
Order_Date                           18-02-2022
Time_Orderd                               21:35
Time_Order_picked                         21:40
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      35.000000
Name: 45147, dtype: object
