ID                                    0xa7c6
Delivery_person_ID             MUMRES05DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                18.927584
Restaurant_longitude               72.832585
Delivery_location_latitude         19.057584
Delivery_location_longitude        72.962585
Order_Date                        31-03-2022
Time_Orderd                            17:10
Time_Order_picked                      17:15
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 37097, dtype: object
