ID                                        0x8cb1
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    29.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.374422
Delivery_location_longitude            85.352900
Order_Date                            03-03-2022
Time_Orderd                                10:25
Time_Order_picked                          10:40
Weather conditions                         Sunny
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                             Buffet
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                                       Urban
Time_taken (min)                       15.000000
Name: 31664, dtype: object
