ID                                     0x4e3e
Delivery_person_ID             INDORES04DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.793659
Delivery_location_longitude         75.943365
Order_Date                         05-04-2022
Time_Orderd                             15:35
Time_Order_picked                       15:50
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 13210, dtype: object
