ID                                    0x65bf
Delivery_person_ID             SURRES14DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                21.157729
Restaurant_longitude               72.768726
Delivery_location_latitude         21.237729
Delivery_location_longitude        72.848726
Order_Date                        27-03-2022
Time_Orderd                            22:30
Time_Order_picked                      22:45
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 17910, dtype: object
