ID                                     0xdc2d
Delivery_person_ID             LUDHRES03DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 30.887220
Restaurant_longitude                75.804893
Delivery_location_latitude          30.927220
Delivery_location_longitude         75.844893
Order_Date                         15-02-2022
Time_Orderd                             16:35
Time_Order_picked                       16:45
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    27.000000
Name: 39320, dtype: object
