ID                                    0x88cb
Delivery_person_ID             HYDRES17DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                17.451976
Restaurant_longitude               78.385883
Delivery_location_latitude         17.581976
Delivery_location_longitude        78.515883
Order_Date                        18-03-2022
Time_Orderd                            23:35
Time_Order_picked                      23:40
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 39478, dtype: object
