ID                                    0xc0a2
Delivery_person_ID             AGRRES05DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -27.201725
Restaurant_longitude               78.007553
Delivery_location_latitude         27.311725
Delivery_location_longitude        78.117553
Order_Date                        12-02-2022
Time_Orderd                            23:60
Time_Order_picked                      24:10
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 24340, dtype: object
