ID                                      0x9ca
Delivery_person_ID             INDORES04DEL03
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.843659
Delivery_location_longitude         75.993365
Order_Date                         31-03-2022
Time_Orderd                             21:55
Time_Order_picked                       22:10
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    35.000000
Name: 34513, dtype: object
