ID                                       0x56bf
Delivery_person_ID               BANGRES19DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.914264
Restaurant_longitude                  77.678400
Delivery_location_latitude            12.924264
Delivery_location_longitude           77.688400
Order_Date                           05-03-2022
Time_Orderd                                9:15
Time_Order_picked                          9:20
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 27519, dtype: object
