ID                                     0xa9ba
Delivery_person_ID             PUNERES08DEL01
Delivery_person_Age                  39.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.54408
Delivery_location_longitude          73.90852
Order_Date                         13-03-2022
Time_Orderd                             10:55
Time_Order_picked                       11:05
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                   1.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     19.00000
Name: 28854, dtype: object
