ID                                    0xda0e
Delivery_person_ID             BHPRES13DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                23.230791
Restaurant_longitude               77.437020
Delivery_location_latitude         23.270791
Delivery_location_longitude        77.477020
Order_Date                        11-02-2022
Time_Orderd                            15:45
Time_Order_picked                      15:50
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 16069, dtype: object
