ID                                        0x878a
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    36.000000
Delivery_person_Ratings                 4.500000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.484422
Delivery_location_longitude            85.462900
Order_Date                            16-03-2022
Time_Orderd                                20:15
Time_Order_picked                          20:25
Weather conditions                        Stormy
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                              Snack
Type_of_vehicle                          scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       33.000000
Name: 11717, dtype: object
