ID                                       0x4e0a
Delivery_person_ID             RANCHIRES02DEL03
Delivery_person_Age                       38.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           10-03-2022
Time_Orderd                               23:10
Time_Order_picked                         23:20
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          25.00
Name: 40285, dtype: object
