ID                                       0x5bc7
Delivery_person_ID             RANCHIRES09DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.351058
Restaurant_longitude                  85.325731
Delivery_location_latitude            23.431058
Delivery_location_longitude           85.405731
Order_Date                           06-04-2022
Time_Orderd                               18:25
Time_Order_picked                         18:40
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 40022, dtype: object
