ID                                        0x3ea
Delivery_person_ID                MUMRES20DEL03
Delivery_person_Age                   50.000000
Delivery_person_Ratings                6.000000
Restaurant_latitude                   19.103249
Restaurant_longitude                  72.846749
Delivery_location_latitude            19.133249
Delivery_location_longitude           72.876749
Order_Date                           24-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:20
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 34657, dtype: object
